,ID,Name,Overall,Club,Jersey Number,Finishing,ShortPassing,LongPassing,Best Position,Best Overall Rating
13611,192448, M. ter Stegen,90,FC Barcelona,1.0,14.0,61.0,63.0,GK,90.0
962,152729, Piqué,86,FC Barcelona,3.0,65.0,81.0,81.0,CB,86.0
692,189511, Sergio Busquets,87,FC Barcelona,5.0,67.0,89.0,83.0,CDM,87.0
3,194765, A. Griezmann,87,FC Barcelona,7.0,88.0,84.0,82.0,ST,87.0
59,180206, M. Pjanić,85,FC Barcelona,8.0,56.0,90.0,87.0,CM,85.0
18,158023, L. Messi,93,FC Barcelona,10.0,95.0,91.0,91.0,RW,93.0
978,231443, O. Dembélé,83,FC Barcelona,11.0,75.0,78.0,76.0,LM,85.0
1781,220440, C. Lenglet,85,FC Barcelona,15.0,39.0,78.0,74.0,CB,86.0
21,189332, Jordi Alba,86,FC Barcelona,18.0,73.0,84.0,79.0,LB,86.0
254,199564, Sergi Roberto,83,FC Barcelona,20.0,63.0,84.0,78.0,RB,83.0
54,228702, F. de Jong,85,FC Barcelona,21.0,63.0,90.0,86.0,CM,87.0
